FLIGHT_CARRIER_CODE;FLIGHT_NUMBER;AIRCRAFT_TYPE
AF ;4150;E70
AF ;4151;E70
AF ;4152;E70
AF ;4153;E70
AF ;4154;E90
AF ;4155;E90
AF ;4156;E90
AF ;4157;E90
AF ;4158;E90
AF ;4159;E90
AF ;4190;332
AF ;4191;E70
AF ;4192;359
AF ;4195;321
AF ;4198;332
AF ;4232;320
AF ;4233;320
AF ;4236;320
AF ;4237;320
AF ;4240;320
AF ;4241;320
AF ;4242;320
AF ;4243;320
AF ;4244;320
AF ;4245;320
AF ;4252;319
AF ;4253;319
AF ;4260;320
AF ;4261;320
AF ;4264;320
AF ;4265;320
AF ;4266;320
AF ;4267;320
AF ;510K;320
AF ;511K;320
AF ;512K;320
AF ;513K;320
AF ;514K;320
AF ;515K;320
AF ;516K;320
AF ;519K;320
AF ;520K;320
AF ;521K;320
AF ;523K;320
AF ;524K;320
AF ;525K;320
AF ;526K;320
AF ;527K;320
AF ;529K;320
AF ;6000;318
AF ;6001;320
AF ;6002;320
AF ;6003;320
AF ;6004;320
AF ;6005;318
AF ;6006;318
AF ;6007;320
AF ;6008;318
AF ;6009;320
AF ;6010;318
AF ;6011;318
AF ;6012;320
AF ;6013;318
AF ;6014;318
AF ;6015;318
AF ;6016;320
AF ;6017;318
AF ;6018;318
AF ;6019;319
AF ;6020;318
AF ;6021;318
AF ;6022;318
AF ;6023;318
AF ;6024;318
AF ;6025;318
AF ;6026;318
AF ;6027;318
AF ;6028;318
AF ;6029;318
AF ;6030;320
AF ;6100;320
AF ;6101;320
AF ;6102;320
AF ;6103;320
AF ;6104;320
AF ;6105;320
AF ;6106;320
AF ;6107;320
AF ;6108;320
AF ;6109;320
AF ;6110;318
AF ;6111;320
AF ;6112;320
AF ;6113;320
AF ;6114;320
AF ;6115;320
AF ;6116;320
AF ;6117;320
AF ;6118;320
AF ;6119;320
AF ;6120;318
AF ;6121;320
AF ;6122;320
AF ;6123;320
AF ;6124;320
AF ;6125;320
AF ;6126;320
AF ;6127;320
AF ;6128;320
AF ;6129;320
AF ;6130;320
AF ;6131;320
AF ;6132;320
AF ;6133;318
AF ;6134;320
AF ;6135;320
AF ;6136;320
AF ;6137;320
AF ;6138;320
AF ;6139;320
AF ;6140;320
AF ;6141;320
AF ;6142;320
AF ;6143;320
AF ;6144;320
AF ;6145;319
AF ;6146;320
AF ;6147;320
AF ;6148;320
AF ;6149;320
AF ;6150;318
AF ;6151;320
AF ;6152;318
AF ;6190;BUS
AF ;6200;319
AF ;6201;320
AF ;6202;320
AF ;6203;320
AF ;6204;320
AF ;6205;320
AF ;6206;320
AF ;6207;320
AF ;6208;318
AF ;6209;320
AF ;6210;318
AF ;6211;320
AF ;6212;318
AF ;6213;318
AF ;6214;320
AF ;6215;318
AF ;6216;320
AF ;6217;319
AF ;6218;320
AF ;6219;320
AF ;6220;320
AF ;6221;318
AF ;6222;320
AF ;6223;320
AF ;6224;320
AF ;6225;320
AF ;6226;320
AF ;6227;318
AF ;6228;320
AF ;6229;318
AF ;6230;320
AF ;6231;320
AF ;6232;320
AF ;6233;320
AF ;6234;320
AF ;6235;320
AF ;6236;320
AF ;6237;320
AF ;6238;320
AF ;6239;318
AF ;6240;320
AF ;6241;320
AF ;6242;318
